HDI rank;Country;Human Development Index;Life expectancy at birth;Expected years of schooling;Mean years of schooling;Gross national income (GNI) per capita
13;United Kingdom;0.932;81.3;17.5;13.2;46070.64
26;France;0.901;82.7;15.6;11.5;47172.54
40;Saudi Arabia;0.854;75.1;16.1;10.2;47495.43
8;Australia;0.944;83.4;22.0;12.7;48084.84
11;Finland;0.938;81.9;19.4;12.8;48511.40
16;Canada;0.929;82.4;16.2;13.4;48527.04
14;Belgium;0.931;81.6;19.8;12.1;52084.59
7;Sweden;0.945;82.8;19.5;12.5;54507.81
4;Iceland;0.949;83.0;19.1;12.8;54682.38
6;Germany;0.947;81.3;17.0;14.2;55314.35
36;Andorra;0.868;81.9;13.3;10.5;56000.30
18;Austria;0.922;81.5;16.1;12.5;56196.90
8;Netherlands;0.944;82.3;18.5;12.4;57707.07
64;Kuwait;0.806;75.5;14.2;7.3;58590.08
10;Denmark;0.940;80.9;18.9;12.6;58661.87
4;Hong Kong China (SAR);0.949;84.9;16.9;12.3;62984.77
17;United States;0.926;78.9;16.3;13.4;63825.66
47;Brunei Darussalam;0.838;75.9;14.3;9.1;63965.09
1;Norway;0.957;82.4;18.1;12.9;66494.25
31;United Arab Emirates;0.890;78.0;14.3;12.1;67462.10
2;Ireland;0.955;82.3;18.7;12.7;68370.59
2;Switzerland;0.955;83.8;16.3;13.4;69393.52
23;Luxembourg;0.916;82.3;14.3;12.3;72711.67
11;Singapore;0.938;83.6;16.4;11.6;88155.21
45;Qatar;0.848;80.2;12.0;9.7;92418.23
19;Liechtenstein;0.919;80.7;14.9;12.5;131031.59
